,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,Short ref,Full ref,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
64,Pipistrellus_pipistrellus,BasalMetabolicRatePerc,110.41,NA,NA,Mean,NA,%,14,individual,NA,Genoud & Christe (2011),"Genoud, M., Christe, P. (2011) Thermal energetics and torpor in the common pipistrelle bat, Pipistrellus pipistrellus (Vespertilionidae: Mammalia) Comp. Biochem. Physiol. A Mol. Integr. Physiol. 160, 252â€“259.",Body_mass(g):_4.6,NA,Quality:_Accepted
65,Pipistrellus_pipistrellus,BasalMetabolicRate,12.1,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Speakman & Thomas (2003),"Speakman, J. R., Thomas, D. W. (2003) Physiological ecology and energetics of bats, in: Bat ecology (eds. T. H. Kunz, M. B. Fenton), pp. 430â€“490. Chicago: University of Chicago Press.",Body_mass(g):_6.6,NA,Quality:_Rejected
66,Pipistrellus_pipistrellus,BasalMetabolicRatePerc,128.35,NA,NA,Mean,NA,%,NA,individual,NA,Speakman & Thomas (2003),"Speakman, J. R., Thomas, D. W. (2003) Physiological ecology and energetics of bats, in: Bat ecology (eds. T. H. Kunz, M. B. Fenton), pp. 430â€“490. Chicago: University of Chicago Press.",Body_mass(g):_6.6,NA,Quality:_Rejected
67,Pipistrellus_pipistrellus,BasalMetabolicRate,12.8,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Speakman & Racey,"Speakman, J. & Racey, P. (1991) No cost of echolocation for bats in flight. Nature, 350, 421-423.",Body_mass(g):_6,NA,Quality:_Rejected
68,Pipistrellus_pipistrellus,BasalMetabolicRatePerc,145.54,NA,NA,Mean,NA,%,NA,individual,NA,Speakman & Racey,"Speakman, J. & Racey, P. (1991) No cost of echolocation for bats in flight. Nature, 350, 421-423.",Body_mass(g):_6,NA,Quality:_Rejected
69,Pipistrellus_pipistrellus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1965) Temperaturregulation bei Flederm.usen (Chiroptera) ausverschiedenen Klimazonen. Zeitschrift fuÌˆr vergleichende Physiologie 50, 1â€“34.",NA,NA,NA
70,Pipistrellus_pipistrellus,MinBodyTemp,3,NA,NA,NA,NA,˚C,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1965) Temperaturregulation bei Flederm.usen (Chiroptera) ausverschiedenen Klimazonen. Zeitschrift fuÌˆr vergleichende Physiologie 50, 1â€“34.",NA,NA,NA
71,Pipistrellus_pipistrellus,TotalEvaporativeWaterLossRate,0.084,NA,NA,Mean,NA,ml/h,NA,individual,NA,Webb (1995),"Webb, P.I., (1995) The comparative ecophysiology of water balance in microchiropteran bats. Symp. Zool. Soc. Lond. 67, 203â€“218.",Body_mass(g):_6.2,NA,NA
72,Pipistrellus_pygmaeus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Norway,Frafjord (2021),"Frafjord, K. (2021) Activity patterns of the soprano pipistrelle Pipistrellus pygmaeus throughout the year in southern Norway.Â BMC Zoology,Â 6(1), 1-8.",NA,NA,NA
73,Plecotus_auritus,BasalMetabolicRate,12.3,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Kayser (1939),"Kayser, C. (1939) Exchanges respiratoires des hibernants r.veill.s. Annales de Physiologie et de Physicochimie Biologique 15, 1087â€“1219.",Body_mass(g):_24,NA,Quality:_Rejected
74,Plecotus_auritus,BasalMetabolicRatePerc,50.91,NA,NA,Mean,NA,%,NA,individual,NA,Kayser (1939),"Kayser, C. (1939) Exchanges respiratoires des hibernants r.veill.s. Annales de Physiologie et de Physicochimie Biologique 15, 1087â€“1219.",Body_mass(g):_24,NA,Quality:_Rejected
75,Plecotus_auritus,BasalMetabolicRate,18.6,NA,NA,Mean,NA,ml O2/h,9,individual,NA,Webb et al. (1992),"Webb, P.I., Hays, G.C., Speakman, J.R., Racey, P.A., (1992) The functional significance of ventilation frequency, and its relationship to oxygen demand in the resting brown long-eared bat, Plecotus auritus. Journal of Comparative Physiology B 162,144â€“147.",Body_mass(g):_11.42,NA,Quality:_Accepted
76,Plecotus_auritus,BasalMetabolicRatePerc,132.29,NA,NA,Mean,NA,%,9,individual,NA,Webb et al. (1992),"Webb, P.I., Hays, G.C., Speakman, J.R., Racey, P.A., (1992) The functional significance of ventilation frequency, and its relationship to oxygen demand in the resting brown long-eared bat, Plecotus auritus. Journal of Comparative Physiology B 162,144â€“147.",Body_mass(g):_11.42,NA,Quality:_Accepted
77,Plecotus_auritus,BasalMetabolicRate,14.69,NA,NA,Mean,NA,ml O2/h,14,individual,NA,McLean & Speakman (2000),"McLean, J. A., Speakman, J. R. (2000) Effects of body mass and reproduction on the basal metabolic rate of brown long-eared bats (Plecotus auritus) Physiol. Biochem. Zool. 73, 112â€“121.",Body_mass(g):_10.7,NA,Quality:_Accepted
78,Plecotus_auritus,BasalMetabolicRatePerc,109.56,NA,NA,Mean,NA,%,14,individual,NA,McLean & Speakman (2000),"McLean, J. A., Speakman, J. R. (2000) Effects of body mass and reproduction on the basal metabolic rate of brown long-eared bats (Plecotus auritus) Physiol. Biochem. Zool. 73, 112â€“121.",Body_mass(g):_10.7,NA,Quality:_Accepted
79,Plecotus_auritus,BasalMetabolicRate,9.44,NA,NA,Mean,respiratometry,ml O2/h,11,individual,NA,Becker et al. (2012),"Becker, N.I., EncarnaÃ§Ã£o, J.A., Kalko, E.K., & Tschapka, M., (2012) The effects of reproductive state on digestive efficiency in three sympatric bat species of the same guild. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 386â€“390.",Body_mass(g):_7.8,NA,Quality:_Accepted
80,Plecotus_auritus,BasalMetabolicRatePerc,88.65,NA,NA,Mean,respiratometry,%,11,individual,NA,Becker et al. (2012),"Becker, N.I., EncarnaÃ§Ã£o, J.A., Kalko, E.K., & Tschapka, M., (2012) The effects of reproductive state on digestive efficiency in three sympatric bat species of the same guild. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 386â€“390.",Body_mass(g):_7.8,NA,Quality:_Accepted
81,Plecotus_auritus,BasalMetabolicRate,9.5,NA,NA,Mean,NA,ml O2/h,13,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_7.8,NA,Quality:_Accepted
82,Plecotus_auritus,BasalMetabolicRatePerc,89.22,NA,NA,Mean,NA,%,13,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_7.8,NA,Quality:_Accepted
83,Plecotus_auritus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Eisentraut (1956),"Eisentraut, M. (1956) Der Winterschlaf mit seinen Ã¶kologischen und physiologischen Begleiterscheinungen. VEB G Fischer, Jena.",NA,NA,NA
84,Plecotus_auritus,MinBodyTemp,-2,NA,NA,NA,NA,˚C,NA,individual,NA,Eisentraut (1956),"Eisentraut, M. (1956) Der Winterschlaf mit seinen Ã¶kologischen und physiologischen Begleiterscheinungen. VEB G Fischer, Jena.",NA,NA,NA
85,Plecotus_auritus,TotalEvaporativeWaterLossRate,0.113,NA,NA,NA,NA,ml/h,NA,individual,NA,Webb (1995),"Webb, P.I., (1995) The comparative ecophysiology of water balance in microchiropteran bats. Symp. Zool. Soc. Lond. 67, 203â€“218.",Body_mass(g):_9.12,NA,NA
86,Plecotus_austriacus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Poland,Lesinski (1986),"Lesinski, G. (1986) Ecology of bats hibernating underground in central Poland. Acta Theriol. 31: 507 -52 1.",NA,NA,NA
88,Rhinolophus_blasii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Gaisler (1970),"Gaisler, J. 1970. Remarks on the thermopreferendum of Palearctic bats in their natural habitats. Bijdr. Dierkd. 40: 33-35.",NA,NA,NA
89,Rhinolophus_euryale,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Gaisler (1970),"Gaisler, J. 1970. Remarks on the thermopreferendum of Palearctic bats in their natural habitats. Bijdr. Dierkd. 40: 33-35.",NA,NA,NA
90,Rhinolophus_ferrumequinum,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1965) Temperaturregulation bei Flederm.usen (Chiroptera) ausverschiedenen Klimazonen. Zeitschrift fuÌˆr vergleichende Physiologie 50, 1â€“34.",NA,NA,NA
91,Rhinolophus_ferrumequinum,MinBodyTemp,9,NA,NA,NA,NA,˚C,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1965) Temperaturregulation bei Flederm.usen (Chiroptera) ausverschiedenen Klimazonen. Zeitschrift fuÌˆr vergleichende Physiologie 50, 1â€“34.",NA,NA,NA
92,Rhinolophus_ferrumequinum,MaxTorporBoutDuration,432,NA,NA,NA,NA,h,NA,individual,UnitedKingdom,Park et al. (2000),"Park, K. J., Jones, G. & Ransome, R. D. (2000) Torpor, arousal and activity of hibernating Greater Horseshoe Bats (Rhinolophus ferrumequinum) Functional Ecology 14, 580â€“588.",NA,NA,NA
93,Rhinolophus_ferrumequinum,MeanTorporBoutDuration,104,NA,NA,Mean,NA,h,21,individual,UnitedKingdom,Park et al. (2000),"Park, K. J., Jones, G. & Ransome, R. D. (2000) Torpor, arousal and activity of hibernating Greater Horseshoe Bats (Rhinolophus ferrumequinum) Functional Ecology 14, 580â€“588.",NA,NA,NA
94,Rhinolophus_hipposideros,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Harmata (1987),"Harmata,W. (1987) The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331â€“332.",NA,NA,NA
95,Rhinolophus_hipposideros,MaxTorporBoutDuration,2064,NA,NA,NA,NA,h,NA,individual,Poland,Harmata (1987),"Harmata,W. (1987) The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331â€“332.",NA,NA,NA
96,Rhinolophus_hipposideros,MeanTorporBoutDuration,427.2,124.8,0.29,Mean,NA,h,141,individual,Poland,Harmata (1987),"Harmata,W. (1987) The frequency of winter sleep interruptions in two species of bats hibernating in limestone tunnels. Acta Theriologica 32, 331â€“332.",NA,NA,NA
97,Rhinolophus_mehelyi,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Murariu et al. (2004),"Murariu, D., Decu, V., Gheorghiu, V. (2004): Bat specific structure over the year in the Gura Ponicovei Cave from South-Western Carpathians (Romania) Travaux du Museum National dâ€™Histoire Naturelle """"Grigore Antipa"""" 47: 315-323.",NA,NA,NA
98,Rousettus_aegyptiacus,BasalMetabolicRate,122.6,NA,NA,Mean,NA,ml O2/h,7,individual,NA,Noll (1979),"Noll, U. G. (1979) Body temperature, oxygen consumption, noradrenaline response and cardiovascular adaptations in the flying fox, Rousettus aegyptiacus. Comparative Biochemistry and Physiology Part A: Physiology, 63(1), 79-88.",Body_mass(g):_146,NA,Quality:_Accepted
99,Rousettus_aegyptiacus,BasalMetabolicRatePerc,136.06,NA,NA,Mean,NA,%,7,individual,NA,Noll (1979),"Noll, U. G. (1979) Body temperature, oxygen consumption, noradrenaline response and cardiovascular adaptations in the flying fox, Rousettus aegyptiacus. Comparative Biochemistry and Physiology Part A: Physiology, 63(1), 79-88.",Body_mass(g):_146,NA,Quality:_Accepted
102,Tadarida_teniotis,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Switzerland,Arlettaz et al. (2000),"Arlettaz, R., Ruchet, C., Aeschimann, J., Brun, E., Genoud, M. & Vogel, P. (2000) Physiological traits affecting the distribution and wintering strategy of the bat Tadarida teniotis. Ecology 81, 1004â€“1014.",Body_mass(g):_34.9,NA,NA
103,Tadarida_teniotis,MinBodyTemp,6.5,NA,NA,NA,NA,˚C,NA,individual,Switzerland,Arlettaz et al. (2000),"Arlettaz, R., Ruchet, C., Aeschimann, J., Brun, E., Genoud, M. & Vogel, P. (2000) Physiological traits affecting the distribution and wintering strategy of the bat Tadarida teniotis. Ecology 81, 1004â€“1014.",Body_mass(g):_34.9,NA,NA
104,Tadarida_teniotis,MaxTorporBoutDuration,192,141.6,0.74,Mean,NA,h,NA,individual,Switzerland,Arlettaz et al. (2000),"Arlettaz, R., Ruchet, C., Aeschimann, J., Brun, E., Genoud, M. & Vogel, P. (2000) Physiological traits affecting the distribution and wintering strategy of the bat Tadarida teniotis. Ecology 81, 1004â€“1014.",Body_mass(g):_34.9,NA,NA
105,Tadarida_teniotis,MeanTorporBoutDuration,81.6,60,0.74,Mean,NA,h,8,individual,Switzerland,Arlettaz et al. (2000),"Arlettaz, R., Ruchet, C., Aeschimann, J., Brun, E., Genoud, M. & Vogel, P. (2000) Physiological traits affecting the distribution and wintering strategy of the bat Tadarida teniotis. Ecology 81, 1004â€“1014.",Body_mass(g):_34.9,NA,NA
107,Vespertilio_murinus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Lithuania,Baranauskas et al. (2006),"Baranauskas, K., GrikienienÄ—, J., & Masing, M. (2006) Particoloured bat Vespertilio murinus (Chiroptera) found hibernating in Lithuania for the first time.Â Ekologija, (4), 31-33.",NA,NA,NA
121,Nyctalus_noctula,HeartRateTorpor,60,NA,NA,NA,NA,bpm,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1967) Heart rate of bats during lethargy and hibernation. ZEITSCHRIFT FUR VERGLEICHENDE PHYSIOLOGIE, 56(1), 63.",NA,NA,NA
122,Nyctalus_noctula,HeartRateTorpor,48,NA,NA,NA,NA,bpm,NA,individual,NA,Kulzer (1965),"Kulzer, E. (1967) Heart rate of bats during lethargy and hibernation. ZEITSCHRIFT FUR VERGLEICHENDE PHYSIOLOGIE, 56(1), 63.",NA,NA,NA
123,Rousettus_aegyptiacus,HeartRateResting,248,3,0.01,NA,NA,bpm,NA,individual,Norway,Currie in press,Currie new unpublished data,NA,NA,NA
124,Rousettus_aegyptiacus,HeartRateFlight,444,5,0.01,NA,NA,bpm,NA,individual,Norway,Currie in press,Currie new unpublished data,NA,NA,NA
126,Myotis_bechsteinii,RestingMetabolicRate,9.6,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2001),"Krapp F (2001) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/I. Aula, Wiebelsheim",Body_mass(g):_9.4,NA,NA
127,Myotis_nattereri,RestingMetabolicRate,8.7,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2001),"Krapp F (2001) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/I. Aula, Wiebelsheim",Body_mass(g):_7.6,NA,NA
128,Plecotus_auritus,RestingMetabolicRate,9.5,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2004),"Krapp F (2004) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/II. Aula, Wiebelsheim",Body_mass(g):_7.7,NA,NA
129,Pipistrellus_pipistrellus,RestingMetabolicRate,12.1,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,Krapp (2004),"Krapp F (2004) Handbuch der Sa Ìˆ ugetiere Europas [Handbook of European mammals], vol 4/II. Aula, Wiebelsheim",Body_mass(g):_6.6,NA,NA
130,Miniopterus_schreibersii,RestingMetabolicRate,2.4,NA,NA,Mean,respiratometry,W kg-1,NA,individual,NA,de Magalhaes & Costa (2009),"de Magalhaes JP, Costa J (2009) A database of vertebrate longevity records and their relation to other life-history traits. J Evol Biol 22(8):1770â€“1774",Body_mass(g):_10.9,NA,NA
131,Myotis_bechsteinii,RestingMetabolicRate,9.05,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_6.5-11.6,during pregnancy similar ot the post-lactating period,NA
132,Plecotus_auritus,RestingMetabolicRate,8.55,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_7.3â€“9.8,during pregnancy similar ot the post-lactating period,NA
133,Myotis_nattereri,RestingMetabolicRate,6.25,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_0.3-12.2,significantly lower median RMR in pregnancy than in post-lactation,NA
134,Myotis_nattereri,RestingMetabolicRate,8.4,NA,NA,Median,respiratometry,W kg-1,NA,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Range:_4.0-12.8,significantly lower median RMR in pregnancy than in post-lactation,NA
